epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.83136,0.165079,1.774283,0.192593,0.0003
2,1.788233,0.183333,1.769568,0.188889,0.0003
3,1.783069,0.164286,1.770411,0.237037,0.0003
4,1.77293,0.196032,1.76496,0.240741,0.0003
5,1.772776,0.185714,1.761887,0.262963,0.0003
6,1.75696,0.203175,1.742008,0.255556,0.0003
7,1.759526,0.203968,1.73291,0.222222,0.0003
8,1.742926,0.218254,1.721349,0.255556,0.0003
9,1.733868,0.218254,1.707778,0.237037,0.0003
10,1.743182,0.219048,1.70349,0.251852,0.0003
11,1.728538,0.230159,1.691556,0.248148,0.0003
12,1.704273,0.235714,1.702123,0.237037,0.0003
13,1.717603,0.246825,1.681146,0.296296,0.0003
14,1.713321,0.25,1.674489,0.3,0.0003
15,1.709,0.246825,1.67171,0.344444,0.0003
16,1.700324,0.250794,1.661977,0.333333,0.0003
17,1.695656,0.252381,1.654546,0.322222,0.0003
18,1.695353,0.272222,1.653947,0.388889,0.0003
19,1.688871,0.277778,1.649968,0.340741,0.0003
20,1.688002,0.253175,1.641618,0.388889,0.0003
